2025-10-21 09:11:51,181 - INFO - 
==================== 实验配置 ====================
2025-10-21 09:11:51,183 - INFO - 种子: 2023
2025-10-21 09:11:51,184 - INFO - 融合方法: pmdf
2025-10-21 09:11:51,184 - INFO - 模态组合: ['ask', 'face', 'tongue']
2025-10-21 09:11:51,185 - INFO - 批次大小: 32
2025-10-21 09:11:51,186 - INFO - 训练轮数: 1000
2025-10-21 09:11:51,187 - INFO - 学习率: 0.001
2025-10-21 09:11:51,188 - INFO - 早停轮数: 100
2025-10-21 09:11:51,189 - INFO - K折交叉验证: 5
2025-10-21 09:11:51,190 - INFO - 损失函数: MultiClassFocalLossWithAlpha
2025-10-21 09:11:51,190 - INFO - 优化器: Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.5, 0.999)
    capturable: False
    decoupled_weight_decay: False
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: None
    lr: 0.001
    maximize: False
    weight_decay: 0
)
2025-10-21 09:11:51,194 - INFO - 设备: cpu
2025-10-21 09:11:51,195 - INFO - =================================================

2025-10-21 09:11:51,198 - INFO - 
----- 第 1/5 折 -----
2025-10-21 09:11:51,284 - INFO - 训练设备: cpu | 融合方法: pmdf | 模态组合: ['ask', 'face', 'tongue']
2025-10-21 09:11:54,022 - INFO - Epoch 1: train_loss=0.1116, train_acc=0.3831, dev_loss=13.5348, dev_acc=0.2673, time=2.7s
2025-10-21 09:23:07,564 - INFO - Epoch 31: train_loss=0.0618, train_acc=0.4200, dev_loss=0.0606, dev_acc=0.4194, time=2.3s
2025-10-21 09:23:09,809 - INFO - Epoch 32: train_loss=0.0615, train_acc=0.4385, dev_loss=0.0607, dev_acc=0.4194, time=2.2s
2025-10-21 09:23:12,202 - INFO - Epoch 33: train_loss=0.0618, train_acc=0.4369, dev_loss=0.0608, dev_acc=0.4194, time=2.4s
2025-10-21 09:23:14,546 - INFO - Epoch 34: train_loss=0.0616, train_acc=0.4385, dev_loss=0.0606, dev_acc=0.4194, time=2.3s
2025-10-21 09:23:16,544 - INFO - Epoch 35: train_loss=0.0620, train_acc=0.4215, dev_loss=0.0607, dev_acc=0.4194, time=2.0s
2025-10-21 09:23:18,376 - INFO - Epoch 36: train_loss=0.0621, train_acc=0.4462, dev_loss=0.0607, dev_acc=0.4194, time=1.8s
2025-10-21 09:23:20,462 - INFO - Epoch 37: train_loss=0.0612, train_acc=0.4492, dev_loss=0.0607, dev_acc=0.4194, time=2.1s
2025-10-21 09:23:22,496 - INFO - Epoch 38: train_loss=0.0611, train_acc=0.4369, dev_loss=0.0606, dev_acc=0.4194, time=2.0s
2025-10-21 09:23:24,598 - INFO - Epoch 39: train_loss=0.0628, train_acc=0.4246, dev_loss=0.0606, dev_acc=0.4194, time=2.1s
2025-10-21 09:23:26,594 - INFO - Epoch 40: train_loss=0.0611, train_acc=0.4277, dev_loss=0.0607, dev_acc=0.4194, time=2.0s
2025-10-21 09:23:28,569 - INFO - Epoch 41: train_loss=0.0608, train_acc=0.4415, dev_loss=0.0606, dev_acc=0.4194, time=2.0s
2025-10-21 09:23:30,504 - INFO - Epoch 42: train_loss=0.0623, train_acc=0.4292, dev_loss=0.0607, dev_acc=0.4194, time=1.9s
2025-10-21 09:23:32,492 - INFO - Epoch 43: train_loss=0.0624, train_acc=0.4492, dev_loss=0.0607, dev_acc=0.4194, time=2.0s
2025-10-21 09:23:34,538 - INFO - Epoch 44: train_loss=0.0617, train_acc=0.4400, dev_loss=0.0607, dev_acc=0.4194, time=2.0s
2025-10-21 09:23:36,689 - INFO - Epoch 45: train_loss=0.0613, train_acc=0.4354, dev_loss=0.0607, dev_acc=0.4194, time=2.2s
2025-10-21 09:23:39,189 - INFO - Epoch 46: train_loss=0.0617, train_acc=0.4477, dev_loss=0.0606, dev_acc=0.4194, time=2.5s
2025-10-21 09:23:41,709 - INFO - Epoch 47: train_loss=0.0617, train_acc=0.4169, dev_loss=0.0608, dev_acc=0.4194, time=2.5s
2025-10-21 09:23:44,020 - INFO - Epoch 48: train_loss=0.0611, train_acc=0.4538, dev_loss=0.0606, dev_acc=0.4194, time=2.3s
2025-10-21 09:23:46,293 - INFO - Epoch 49: train_loss=0.0602, train_acc=0.4446, dev_loss=0.0606, dev_acc=0.4194, time=2.3s
2025-10-21 09:23:48,867 - INFO - Epoch 50: train_loss=0.0621, train_acc=0.4323, dev_loss=0.0607, dev_acc=0.4194, time=2.6s
2025-10-21 09:23:51,325 - INFO - Epoch 51: train_loss=0.0614, train_acc=0.4462, dev_loss=0.0607, dev_acc=0.4194, time=2.5s
2025-10-21 09:23:53,639 - INFO - Epoch 52: train_loss=0.0619, train_acc=0.4323, dev_loss=0.0607, dev_acc=0.4194, time=2.3s
2025-10-21 09:23:55,885 - INFO - Epoch 53: train_loss=0.0619, train_acc=0.4262, dev_loss=0.0606, dev_acc=0.4194, time=2.2s
2025-10-21 09:23:58,316 - INFO - Epoch 54: train_loss=0.0618, train_acc=0.4462, dev_loss=0.0607, dev_acc=0.4194, time=2.4s
2025-10-21 09:24:00,748 - INFO - Epoch 55: train_loss=0.0615, train_acc=0.4369, dev_loss=0.0607, dev_acc=0.4194, time=2.4s
2025-10-21 09:24:03,095 - INFO - Epoch 56: train_loss=0.0610, train_acc=0.4338, dev_loss=0.0606, dev_acc=0.4194, time=2.3s
2025-10-21 09:24:05,545 - INFO - Epoch 57: train_loss=0.0616, train_acc=0.4215, dev_loss=0.0606, dev_acc=0.4194, time=2.4s
2025-10-21 09:24:08,039 - INFO - Epoch 58: train_loss=0.0617, train_acc=0.4308, dev_loss=0.0607, dev_acc=0.4194, time=2.5s
2025-10-21 09:24:10,437 - INFO - Epoch 59: train_loss=0.0617, train_acc=0.4323, dev_loss=0.0607, dev_acc=0.4194, time=2.4s
2025-10-21 09:24:12,650 - INFO - Epoch 60: train_loss=0.0615, train_acc=0.4262, dev_loss=0.0607, dev_acc=0.4194, time=2.2s
2025-10-21 09:24:14,849 - INFO - Epoch 61: train_loss=0.0622, train_acc=0.4385, dev_loss=0.0607, dev_acc=0.4194, time=2.2s
2025-10-21 09:24:17,152 - INFO - Epoch 62: train_loss=0.0624, train_acc=0.4154, dev_loss=0.0606, dev_acc=0.4194, time=2.3s
2025-10-21 09:24:19,744 - INFO - Epoch 63: train_loss=0.0615, train_acc=0.4431, dev_loss=0.0607, dev_acc=0.4194, time=2.6s
2025-10-21 09:24:22,062 - INFO - Epoch 64: train_loss=0.0618, train_acc=0.4354, dev_loss=0.0606, dev_acc=0.4194, time=2.3s
2025-10-21 09:24:24,329 - INFO - Epoch 65: train_loss=0.0624, train_acc=0.4200, dev_loss=0.0607, dev_acc=0.4194, time=2.3s
2025-10-21 09:24:26,596 - INFO - Epoch 66: train_loss=0.0616, train_acc=0.4415, dev_loss=0.0606, dev_acc=0.4194, time=2.3s
2025-10-21 09:24:28,812 - INFO - Epoch 67: train_loss=0.0622, train_acc=0.4262, dev_loss=0.0606, dev_acc=0.4194, time=2.2s
2025-10-21 09:24:31,284 - INFO - Epoch 68: train_loss=0.0614, train_acc=0.4185, dev_loss=0.0607, dev_acc=0.4194, time=2.5s
2025-10-21 09:24:33,640 - INFO - Epoch 69: train_loss=0.0610, train_acc=0.4338, dev_loss=0.0607, dev_acc=0.4194, time=2.4s
2025-10-21 09:24:35,929 - INFO - Epoch 70: train_loss=0.0612, train_acc=0.4385, dev_loss=0.0607, dev_acc=0.4194, time=2.3s
2025-10-21 09:24:38,269 - INFO - Epoch 71: train_loss=0.0612, train_acc=0.4292, dev_loss=0.0607, dev_acc=0.4194, time=2.3s
2025-10-21 09:24:40,671 - INFO - Epoch 72: train_loss=0.0622, train_acc=0.4508, dev_loss=0.0607, dev_acc=0.4194, time=2.4s
2025-10-21 09:24:43,300 - INFO - Epoch 73: train_loss=0.0627, train_acc=0.4154, dev_loss=0.0608, dev_acc=0.4194, time=2.6s
2025-10-21 09:24:45,695 - INFO - Epoch 74: train_loss=0.0620, train_acc=0.4431, dev_loss=0.0607, dev_acc=0.4194, time=2.4s
2025-10-21 09:24:47,911 - INFO - Epoch 75: train_loss=0.0622, train_acc=0.4246, dev_loss=0.0607, dev_acc=0.4194, time=2.2s
2025-10-21 09:24:50,127 - INFO - Epoch 76: train_loss=0.0622, train_acc=0.4308, dev_loss=0.0607, dev_acc=0.4194, time=2.2s
2025-10-21 09:24:52,364 - INFO - Epoch 77: train_loss=0.0626, train_acc=0.4338, dev_loss=0.0607, dev_acc=0.4194, time=2.2s
2025-10-21 09:24:54,909 - INFO - Epoch 78: train_loss=0.0617, train_acc=0.4354, dev_loss=0.0607, dev_acc=0.4194, time=2.5s
2025-10-21 09:24:57,517 - INFO - Epoch 79: train_loss=0.0624, train_acc=0.4369, dev_loss=0.0607, dev_acc=0.4194, time=2.6s
2025-10-21 09:25:00,094 - INFO - Epoch 80: train_loss=0.0614, train_acc=0.4354, dev_loss=0.0606, dev_acc=0.4194, time=2.6s
2025-10-21 09:25:02,542 - INFO - Epoch 81: train_loss=0.0619, train_acc=0.4431, dev_loss=0.0606, dev_acc=0.4194, time=2.4s
2025-10-21 09:25:05,384 - INFO - Epoch 82: train_loss=0.0624, train_acc=0.4354, dev_loss=0.0606, dev_acc=0.4194, time=2.8s
2025-10-21 09:25:07,731 - INFO - Epoch 83: train_loss=0.0624, train_acc=0.4185, dev_loss=0.0606, dev_acc=0.4194, time=2.3s
2025-10-21 09:25:09,968 - INFO - Epoch 84: train_loss=0.0615, train_acc=0.4431, dev_loss=0.0606, dev_acc=0.4194, time=2.2s
2025-10-21 09:25:12,298 - INFO - Epoch 85: train_loss=0.0622, train_acc=0.4292, dev_loss=0.0608, dev_acc=0.4194, time=2.3s
2025-10-21 09:25:14,552 - INFO - Epoch 86: train_loss=0.0618, train_acc=0.4262, dev_loss=0.0608, dev_acc=0.4194, time=2.3s
2025-10-21 09:25:16,980 - INFO - Epoch 87: train_loss=0.0619, train_acc=0.4400, dev_loss=0.0606, dev_acc=0.4194, time=2.4s
2025-10-21 09:25:19,402 - INFO - Epoch 88: train_loss=0.0613, train_acc=0.4431, dev_loss=0.0607, dev_acc=0.4194, time=2.4s
2025-10-21 09:25:21,722 - INFO - Epoch 89: train_loss=0.0615, train_acc=0.4200, dev_loss=0.0606, dev_acc=0.4194, time=2.3s
2025-10-21 09:25:24,054 - INFO - Epoch 90: train_loss=0.0620, train_acc=0.4338, dev_loss=0.0606, dev_acc=0.4194, time=2.3s
2025-10-21 09:25:26,399 - INFO - Epoch 91: train_loss=0.0620, train_acc=0.4338, dev_loss=0.0607, dev_acc=0.4194, time=2.3s
2025-10-21 09:25:29,056 - INFO - Epoch 92: train_loss=0.0617, train_acc=0.4277, dev_loss=0.0607, dev_acc=0.4194, time=2.7s
2025-10-21 09:25:31,478 - INFO - Epoch 93: train_loss=0.0609, train_acc=0.4323, dev_loss=0.0606, dev_acc=0.4194, time=2.4s
2025-10-21 09:25:33,680 - INFO - Epoch 94: train_loss=0.0618, train_acc=0.4369, dev_loss=0.0607, dev_acc=0.4194, time=2.2s
2025-10-21 09:25:36,049 - INFO - Epoch 95: train_loss=0.0613, train_acc=0.4292, dev_loss=0.0607, dev_acc=0.4194, time=2.4s
2025-10-21 09:25:38,348 - INFO - Epoch 96: train_loss=0.0617, train_acc=0.4200, dev_loss=0.0607, dev_acc=0.4194, time=2.3s
2025-10-21 09:25:41,090 - INFO - Epoch 97: train_loss=0.0618, train_acc=0.4354, dev_loss=0.0607, dev_acc=0.4194, time=2.7s
2025-10-21 09:25:43,423 - INFO - Epoch 98: train_loss=0.0620, train_acc=0.4338, dev_loss=0.0607, dev_acc=0.4194, time=2.3s
2025-10-21 09:25:45,699 - INFO - Epoch 99: train_loss=0.0619, train_acc=0.4277, dev_loss=0.0606, dev_acc=0.4194, time=2.3s
2025-10-21 09:25:47,981 - INFO - Epoch 100: train_loss=0.0616, train_acc=0.4277, dev_loss=0.0606, dev_acc=0.4194, time=2.3s
2025-10-21 09:25:50,252 - INFO - Epoch 101: train_loss=0.0604, train_acc=0.4477, dev_loss=0.0607, dev_acc=0.4194, time=2.3s
2025-10-21 09:25:50,252 - INFO - 早停触发: 最佳轮次=1, 最佳验证准确率=0.4194
2025-10-21 09:25:50,639 - INFO - 第 3 折测试: 损失=0.0606, 准确率=0.4470, F1=0.3533
2025-10-21 09:25:50,640 - INFO - 
----- 第 4/5 折 -----
2025-10-21 09:25:50,722 - INFO - 训练设备: cpu | 融合方法: pmdf | 模态组合: ['ask', 'face', 'tongue']
2025-10-21 09:25:53,423 - INFO - Epoch 1: train_loss=0.0617, train_acc=0.4508, dev_loss=0.0607, dev_acc=0.4194, time=2.7s
2025-10-21 09:25:55,862 - INFO - Epoch 2: train_loss=0.0622, train_acc=0.4323, dev_loss=0.0606, dev_acc=0.4194, time=2.4s
2025-10-21 09:25:58,133 - INFO - Epoch 3: train_loss=0.0620, train_acc=0.4492, dev_loss=0.0606, dev_acc=0.4194, time=2.3s
2025-10-21 09:26:00,485 - INFO - Epoch 4: train_loss=0.0608, train_acc=0.4585, dev_loss=0.0606, dev_acc=0.4194, time=2.3s
2025-10-21 09:26:03,361 - INFO - Epoch 5: train_loss=0.0618, train_acc=0.4369, dev_loss=0.0606, dev_acc=0.4194, time=2.9s
2025-10-21 09:26:05,973 - INFO - Epoch 6: train_loss=0.0626, train_acc=0.4369, dev_loss=0.0607, dev_acc=0.4194, time=2.6s
2025-10-21 09:26:08,254 - INFO - Epoch 7: train_loss=0.0611, train_acc=0.4277, dev_loss=0.0607, dev_acc=0.4194, time=2.3s
2025-10-21 09:26:10,581 - INFO - Epoch 8: train_loss=0.0621, train_acc=0.4231, dev_loss=0.0607, dev_acc=0.4194, time=2.3s
2025-10-21 09:26:12,893 - INFO - Epoch 9: train_loss=0.0617, train_acc=0.4523, dev_loss=0.0606, dev_acc=0.4194, time=2.3s
2025-10-21 09:26:15,427 - INFO - Epoch 10: train_loss=0.0622, train_acc=0.4277, dev_loss=0.0606, dev_acc=0.4194, time=2.5s
2025-10-21 09:26:17,870 - INFO - Epoch 11: train_loss=0.0611, train_acc=0.4538, dev_loss=0.0607, dev_acc=0.4194, time=2.4s
2025-10-21 09:26:20,191 - INFO - Epoch 12: train_loss=0.0619, train_acc=0.4400, dev_loss=0.0606, dev_acc=0.4194, time=2.3s
2025-10-21 09:26:22,548 - INFO - Epoch 13: train_loss=0.0619, train_acc=0.4292, dev_loss=0.0606, dev_acc=0.4194, time=2.4s
2025-10-21 09:26:24,837 - INFO - Epoch 14: train_loss=0.0614, train_acc=0.4292, dev_loss=0.0607, dev_acc=0.4194, time=2.3s
2025-10-21 09:26:27,320 - INFO - Epoch 15: train_loss=0.0619, train_acc=0.4308, dev_loss=0.0607, dev_acc=0.4194, time=2.5s
2025-10-21 09:26:29,860 - INFO - Epoch 16: train_loss=0.0615, train_acc=0.4338, dev_loss=0.0606, dev_acc=0.4194, time=2.5s
2025-10-21 09:26:32,233 - INFO - Epoch 17: train_loss=0.0610, train_acc=0.4369, dev_loss=0.0606, dev_acc=0.4194, time=2.4s
2025-10-21 09:26:34,576 - INFO - Epoch 18: train_loss=0.0614, train_acc=0.4523, dev_loss=0.0607, dev_acc=0.4194, time=2.3s
2025-10-21 09:26:36,896 - INFO - Epoch 19: train_loss=0.0618, train_acc=0.4492, dev_loss=0.0606, dev_acc=0.4194, time=2.3s
2025-10-21 09:26:39,796 - INFO - Epoch 20: train_loss=0.0620, train_acc=0.4246, dev_loss=0.0606, dev_acc=0.4194, time=2.9s
2025-10-21 09:26:42,544 - INFO - Epoch 21: train_loss=0.0615, train_acc=0.4523, dev_loss=0.0606, dev_acc=0.4194, time=2.7s
2025-10-21 09:26:44,996 - INFO - Epoch 22: train_loss=0.0609, train_acc=0.4538, dev_loss=0.0606, dev_acc=0.4194, time=2.5s
2025-10-21 09:26:47,075 - INFO - Epoch 23: train_loss=0.0622, train_acc=0.4292, dev_loss=0.0606, dev_acc=0.4194, time=2.1s
2025-10-21 09:26:49,391 - INFO - Epoch 24: train_loss=0.0615, train_acc=0.4477, dev_loss=0.0606, dev_acc=0.4194, time=2.3s
2025-10-21 09:26:51,606 - INFO - Epoch 25: train_loss=0.0623, train_acc=0.4400, dev_loss=0.0607, dev_acc=0.4194, time=2.2s
2025-10-21 09:26:53,622 - INFO - Epoch 26: train_loss=0.0609, train_acc=0.4431, dev_loss=0.0607, dev_acc=0.4194, time=2.0s
2025-10-21 09:26:55,779 - INFO - Epoch 27: train_loss=0.0612, train_acc=0.4477, dev_loss=0.0607, dev_acc=0.4194, time=2.2s
2025-10-21 09:26:57,818 - INFO - Epoch 28: train_loss=0.0621, train_acc=0.4369, dev_loss=0.0606, dev_acc=0.4194, time=2.0s
2025-10-21 09:26:59,878 - INFO - Epoch 29: train_loss=0.0620, train_acc=0.4323, dev_loss=0.0607, dev_acc=0.4194, time=2.1s
2025-10-21 09:27:01,741 - INFO - Epoch 30: train_loss=0.0611, train_acc=0.4508, dev_loss=0.0605, dev_acc=0.4194, time=1.9s
2025-10-21 09:27:03,958 - INFO - Epoch 31: train_loss=0.0613, train_acc=0.4354, dev_loss=0.0607, dev_acc=0.4194, time=2.2s
2025-10-21 09:27:06,304 - INFO - Epoch 32: train_loss=0.0622, train_acc=0.4538, dev_loss=0.0606, dev_acc=0.4194, time=2.3s
2025-10-21 09:27:08,784 - INFO - Epoch 33: train_loss=0.0613, train_acc=0.4508, dev_loss=0.0606, dev_acc=0.4194, time=2.5s
2025-10-21 09:27:10,904 - INFO - Epoch 34: train_loss=0.0615, train_acc=0.4277, dev_loss=0.0605, dev_acc=0.4194, time=2.1s
2025-10-21 09:27:12,877 - INFO - Epoch 35: train_loss=0.0617, train_acc=0.4431, dev_loss=0.0606, dev_acc=0.4194, time=2.0s
2025-10-21 09:27:14,902 - INFO - Epoch 36: train_loss=0.0613, train_acc=0.4538, dev_loss=0.0606, dev_acc=0.4194, time=2.0s
2025-10-21 09:27:16,926 - INFO - Epoch 37: train_loss=0.0616, train_acc=0.4246, dev_loss=0.0607, dev_acc=0.4194, time=2.0s
2025-10-21 09:27:19,007 - INFO - Epoch 38: train_loss=0.0624, train_acc=0.4185, dev_loss=0.0605, dev_acc=0.4194, time=2.1s
2025-10-21 09:27:21,317 - INFO - Epoch 39: train_loss=0.0609, train_acc=0.4415, dev_loss=0.0606, dev_acc=0.4194, time=2.3s
2025-10-21 09:27:23,758 - INFO - Epoch 40: train_loss=0.0623, train_acc=0.4185, dev_loss=0.0606, dev_acc=0.4194, time=2.4s
2025-10-21 09:27:26,179 - INFO - Epoch 41: train_loss=0.0607, train_acc=0.4246, dev_loss=0.0606, dev_acc=0.4194, time=2.4s
2025-10-21 09:27:28,513 - INFO - Epoch 42: train_loss=0.0620, train_acc=0.4338, dev_loss=0.0607, dev_acc=0.4194, time=2.3s
2025-10-21 09:27:30,829 - INFO - Epoch 43: train_loss=0.0619, train_acc=0.4446, dev_loss=0.0606, dev_acc=0.4194, time=2.3s
2025-10-21 09:27:33,391 - INFO - Epoch 44: train_loss=0.0612, train_acc=0.4646, dev_loss=0.0606, dev_acc=0.4194, time=2.6s
2025-10-21 09:27:35,821 - INFO - Epoch 45: train_loss=0.0617, train_acc=0.4323, dev_loss=0.0606, dev_acc=0.4194, time=2.4s
2025-10-21 09:27:38,192 - INFO - Epoch 46: train_loss=0.0617, train_acc=0.4246, dev_loss=0.0607, dev_acc=0.4194, time=2.4s
2025-10-21 09:27:40,526 - INFO - Epoch 47: train_loss=0.0615, train_acc=0.4492, dev_loss=0.0605, dev_acc=0.4194, time=2.3s
2025-10-21 09:27:42,975 - INFO - Epoch 48: train_loss=0.0616, train_acc=0.4369, dev_loss=0.0606, dev_acc=0.4194, time=2.4s
2025-10-21 09:27:45,525 - INFO - Epoch 49: train_loss=0.0610, train_acc=0.4538, dev_loss=0.0606, dev_acc=0.4194, time=2.5s
2025-10-21 09:27:47,934 - INFO - Epoch 50: train_loss=0.0621, train_acc=0.4323, dev_loss=0.0606, dev_acc=0.4194, time=2.4s
2025-10-21 09:27:50,293 - INFO - Epoch 51: train_loss=0.0618, train_acc=0.4431, dev_loss=0.0606, dev_acc=0.4194, time=2.4s
2025-10-21 09:27:52,529 - INFO - Epoch 52: train_loss=0.0615, train_acc=0.4323, dev_loss=0.0606, dev_acc=0.4194, time=2.2s
2025-10-21 09:27:55,001 - INFO - Epoch 53: train_loss=0.0621, train_acc=0.4446, dev_loss=0.0606, dev_acc=0.4194, time=2.5s
2025-10-21 09:27:57,483 - INFO - Epoch 54: train_loss=0.0612, train_acc=0.4431, dev_loss=0.0606, dev_acc=0.4194, time=2.5s
2025-10-21 09:27:59,949 - INFO - Epoch 55: train_loss=0.0613, train_acc=0.4400, dev_loss=0.0606, dev_acc=0.4194, time=2.5s
2025-10-21 09:28:02,360 - INFO - Epoch 56: train_loss=0.0624, train_acc=0.4385, dev_loss=0.0607, dev_acc=0.4194, time=2.4s
2025-10-21 09:28:04,672 - INFO - Epoch 57: train_loss=0.0615, train_acc=0.4400, dev_loss=0.0606, dev_acc=0.4194, time=2.3s
2025-10-21 09:28:07,113 - INFO - Epoch 58: train_loss=0.0621, train_acc=0.4385, dev_loss=0.0606, dev_acc=0.4194, time=2.4s
2025-10-21 09:28:09,576 - INFO - Epoch 59: train_loss=0.0618, train_acc=0.4354, dev_loss=0.0606, dev_acc=0.4194, time=2.5s
2025-10-21 09:28:11,976 - INFO - Epoch 60: train_loss=0.0609, train_acc=0.4354, dev_loss=0.0606, dev_acc=0.4194, time=2.4s
2025-10-21 09:28:14,356 - INFO - Epoch 61: train_loss=0.0605, train_acc=0.4292, dev_loss=0.0606, dev_acc=0.4194, time=2.4s
2025-10-21 09:28:16,696 - INFO - Epoch 62: train_loss=0.0619, train_acc=0.4338, dev_loss=0.0607, dev_acc=0.4194, time=2.3s
2025-10-21 09:28:19,109 - INFO - Epoch 63: train_loss=0.0618, train_acc=0.4277, dev_loss=0.0606, dev_acc=0.4194, time=2.4s
2025-10-21 09:28:21,627 - INFO - Epoch 64: train_loss=0.0621, train_acc=0.4277, dev_loss=0.0607, dev_acc=0.4194, time=2.5s
2025-10-21 09:28:23,953 - INFO - Epoch 65: train_loss=0.0606, train_acc=0.4385, dev_loss=0.0606, dev_acc=0.4194, time=2.3s
